ID,Q257_1,Q257_2,Q257_3,Q257_4,Q257_5,Q257_6,Q257_7,Q257_8,Q257_9,Q257_10,Q257_11,Q257_12,Q257_13,Q257_14,Q257_15,Q257_16,Q257_17,Q257_18,Q257_19,Q257_20,Q257_21,Q257_22,Q257_23,Q257_24,Q257_25,Q257_26,Q257_27,Q257_28,Q257_29,Q257_30,Q257_31,Q257_32,Q257_33,Q257_34,Q257_35,Q257_36,Q257_37,Q257_38,Q257_39,Q257_40,Q257_41,Q257_42,Q257_43,Q257_44,Q257_45,Q257_46,Q257_47,Q257_48,Q257_49,Q257_50,Q257_51,Q257_52,Q257_53,Q257_54,Q257_55,Q257_56,Q257_57,Q257_58,Q257_59,Q257_60
6,2,4,2,2,4,2,4,4,4,4,2,4,4,2,3,4,2,3,4,4,4,1,2,4,2,2,4,2,4,2,4,4,3,4,4,4,3,4,4,4,4,4,5,4,2,2,2,2,2,4,4,4,4,4,3,3,4,2,4,4
7,4,2,1,1,3,4,4,1,2,5,2,4,3,4,5,4,4,5,5,5,5,4,1,2,1,1,2,1,2,2,3,4,5,5,5,1,4,5,5,5,3,3,5,2,2,4,4,1,1,1,1,4,5,5,2,3,3,2,5,4
43,4,4,2,5,2,3,5,2,4,4,4,1,2,1,2,2,2,4,1,4,3,4,4,4,2,2,4,2,5,3,2,3,4,2,3,2,1,3,2,4,3,4,5,5,3,4,4,1,4,2,4,5,5,1,2,3,4,2,1,4
79,5,4,2,3,1,5,5,2,4,5,2,2,4,2,5,2,1,4,4,5,4,4,3,4,1,2,5,4,4,1,4,5,4,4,5,4,4,3,3,5,5,3,5,4,1,5,5,2,2,1,1,5,4,2,1,4,4,3,2,4
97,4,4,1,3,3,5,5,1,5,4,2,1,5,2,4,3,1,5,3,4,3,2,1,4,2,2,5,2,4,3,2,4,5,2,5,3,1,5,1,4,4,3,4,3,2,4,2,1,3,2,1,5,5,1,3,3,4,1,1,4
98,5,5,3,1,2,5,5,1,5,5,2,1,5,1,5,2,1,4,5,5,5,2,4,5,2,1,5,4,5,1,4,5,3,5,5,3,1,5,1,1,5,4,5,4,3,5,1,1,1,4,1,5,5,1,3,4,5,1,5,5
123,4,3,5,5,1,5,4,2,4,5,2,3,3,1,5,4,2,2,3,5,4,3,1,5,1,1,4,5,5,1,3,4,1,2,5,2,3,4,2,4,5,2,2,5,1,2,4,4,4,1,4,4,3,1,1,4,4,2,2,4
126,4,4,5,4,4,4,4,4,4,4,3,4,3,2,4,2,2,2,4,2,3,4,5,4,2,3,4,4,4,4,4,4,2,3,3,2,2,2,3,4,2,2,4,3,2,4,4,4,4,2,3,4,2,3,2,4,4,4,2,4
142,4,4,4,2,2,2,4,4,3,4,1,1,2,4,3,3,2,2,4,4,2,1,4,2,4,3,4,4,2,3,4,4,2,4,4,3,2,3,4,4,2,4,4,2,1,3,2,4,1,2,2,4,3,4,2,3,2,2,3,3
152,4,5,4,2,3,3,4,2,4,5,2,4,3,4,4,4,1,5,4,3,2,1,2,4,3,3,4,2,3,2,4,4,5,4,3,3,3,5,2,4,4,5,4,3,1,4,2,1,3,1,3,4,2,4,1,5,5,4,2,4
153,4,4,1,4,4,3,5,2,4,4,2,2,4,2,3,5,2,4,4,4,3,1,2,4,2,2,5,1,5,3,2,4,4,2,4,3,1,5,1,4,3,3,5,4,2,3,2,1,2,3,2,5,4,1,2,4,5,2,2,3
2,4,4,1,3,5,4,4,3,4,5,1,2,4,4,4,5,1,4,3,1,2,2,2,4,2,2,5,2,3,2,4,5,4,5,1,2,2,4,2,3,4,2,4,3,1,2,1,1,3,5,2,4,5,2,4,4,4,2,3,4
3,3,4,2,3,3,5,5,4,4,4,2,2,3,2,4,4,2,4,4,4,4,2,3,4,2,2,4,3,2,3,5,5,4,4,4,2,2,4,4,4,3,2,5,4,2,4,2,2,2,2,1,4,5,2,3,4,5,2,1,3
5,2,3,3,2,3,3,3,4,3,5,2,3,3,5,3,3,2,4,4,3,2,3,4,3,3,4,3,4,3,3,4,4,3,5,3,5,4,3,4,3,2,4,3,2,2,3,3,3,2,2,3,4,4,4,3,3,3,4,4,3
13,3,4,5,3,1,3,3,3,3,5,3,4,5,3,4,5,1,2,4,5,3,3,4,3,1,4,5,4,3,1,4,5,4,4,5,3,3,5,4,5,3,4,5,3,1,3,2,1,3,1,3,3,5,3,1,5,4,3,4,4
41,4,5,3,2,3,3,5,2,4,4,1,3,2,2,4,2,1,2,4,3,1,1,2,2,4,2,5,2,2,2,5,5,4,4,4,4,1,3,4,4,4,3,4,4,3,1,1,1,5,1,1,5,4,3,2,4,4,1,3,4
42,5,5,4,1,5,1,5,3,4,4,1,4,3,3,2,2,5,4,4,4,1,3,3,2,5,5,1,3,2,4,2,5,3,5,3,2,1,2,5,4,4,2,4,3,2,5,1,2,2,4,3,5,3,5,3,3,3,4,3,3
58,4,5,2,2,2,4,5,5,4,5,4,2,5,4,4,4,1,5,4,4,2,3,4,5,2,2,5,4,5,3,4,4,1,5,4,2,1,4,3,4,2,2,5,5,1,4,2,2,2,3,4,5,1,4,1,4,4,2,1,4
59,1,4,5,4,3,3,4,4,4,5,2,4,3,3,4,5,2,2,4,3,3,2,2,4,1,4,4,4,3,1,5,3,1,4,2,2,3,2,3,2,3,4,3,4,2,2,3,4,2,2,1,4,2,3,2,3,3,4,2,5
83,4,4,2,2,3,3,5,1,3,4,3,2,4,3,4,2,2,4,3,2,1,1,3,4,4,2,4,2,4,3,3,5,5,5,4,3,1,4,2,1,4,3,4,4,2,3,1,1,4,3,4,5,5,3,2,4,4,1,2,4
84,1,1,4,1,2,2,1,5,1,1,1,5,4,1,1,2,1,1,1,2,2,3,2,2,2,2,1,1,2,2,2,1,1,1,2,1,1,3,2,1,1,3,2,2,2,2,2,1,1,1,5,2,2,2,1,1,2,2,1,1
110,4,4,4,4,5,4,5,5,3,5,1,2,2,4,4,1,2,3,4,5,4,4,4,4,1,4,4,4,4,1,2,4,1,3,5,2,2,2,2,4,4,1,3,4,1,4,4,3,2,1,2,4,4,1,1,4,4,4,3,5
134,4,4,1,2,2,4,4,2,4,5,2,4,3,4,5,1,2,4,4,4,4,4,2,4,2,2,4,3,2,2,4,4,4,4,4,2,4,5,2,3,4,3,4,4,2,5,4,1,2,2,2,4,4,2,2,4,3,2,4,5
136,2,5,1,3,3,4,5,2,3,4,2,3,3,1,5,4,1,5,3,4,3,2,2,4,2,3,4,2,4,1,4,3,5,3,3,3,2,3,2,3,3,3,4,3,2,2,3,1,3,2,2,4,4,1,2,3,3,2,2,4
175,5,4,2,4,3,4,5,1,4,4,3,3,2,4,4,4,4,4,2,4,3,2,1,4,1,2,3,1,5,1,1,4,4,2,4,3,1,4,1,3,4,2,4,3,1,2,3,1,4,4,1,4,4,1,1,4,4,1,4,4
137,4,4,5,2,2,2,4,4,5,4,1,2,2,2,4,2,2,4,4,3,4,2,4,4,2,4,4,5,4,2,4,4,2,5,4,2,2,4,2,4,3,2,4,4,1,4,2,4,4,2,5,4,4,2,2,5,4,4,4,4
138,4,4,4,2,4,4,4,4,4,5,2,4,3,2,4,3,4,4,5,5,3,1,3,4,2,3,4,4,2,3,4,4,2,4,5,3,4,4,2,4,4,1,4,2,2,4,4,4,1,1,3,4,3,2,2,4,5,4,4,4
112,3,4,2,4,4,2,4,3,4,5,2,3,4,3,4,4,2,4,2,3,3,2,2,4,2,2,4,4,4,2,4,4,3,4,3,2,2,4,2,3,4,3,4,4,2,4,3,3,3,3,2,4,4,2,1,4,4,3,2,4
113,4,4,1,2,4,2,4,4,3,5,1,3,5,3,5,3,2,4,4,2,4,1,3,4,1,1,5,1,3,3,2,2,4,5,2,3,2,5,3,5,3,4,5,3,2,4,3,1,4,5,2,5,5,2,1,4,4,1,4,4
132,4,4,2,4,1,4,4,4,2,4,1,2,3,4,4,2,2,4,4,4,4,4,2,4,2,3,4,4,4,2,4,4,4,4,4,2,3,4,4,4,3,3,4,4,2,4,3,2,2,2,2,4,4,4,3,4,4,4,2,4
52,2,4,1,5,4,3,5,4,4,5,4,4,5,5,5,5,2,5,4,3,4,2,2,3,3,4,5,4,2,3,5,2,4,5,2,2,5,5,4,4,1,5,5,3,4,1,5,1,2,1,1,5,5,4,1,1,1,2,3,4
56,4,5,2,1,1,2,5,4,2,4,2,3,5,4,4,2,2,2,5,5,2,3,2,4,1,4,4,5,4,1,5,4,1,5,4,3,4,4,3,4,2,1,5,4,2,2,4,5,1,2,5,4,3,3,2,4,4,2,4,3
57,2,4,2,2,1,4,4,2,1,5,4,2,4,5,4,4,2,4,4,4,4,3,2,2,2,3,4,2,2,2,4,4,4,5,4,3,4,4,4,3,2,5,3,2,2,3,4,2,2,2,4,4,4,4,2,2,2,2,5,3
86,2,4,1,4,4,4,5,4,3,5,2,4,4,2,5,4,2,5,4,2,4,2,4,4,1,2,4,3,4,2,4,4,5,2,2,2,1,4,2,4,3,3,4,4,2,3,3,1,4,4,2,4,4,2,2,3,4,2,1,4
87,4,5,4,4,4,1,3,3,5,5,3,2,4,5,5,4,3,4,2,4,1,5,3,4,1,2,1,5,5,4,4,4,2,3,4,2,4,4,3,5,3,4,3,5,3,3,5,4,4,2,2,4,3,2,2,4,4,1,2,3
88,4,5,2,1,1,1,5,4,2,3,1,3,2,4,3,3,1,4,5,2,1,1,2,2,4,3,5,2,1,4,5,5,4,5,2,2,1,3,2,3,4,4,4,2,3,3,2,1,2,2,4,5,3,2,4,4,3,2,4,2
89,3,5,2,2,1,2,5,4,2,5,1,3,4,3,3,5,1,5,5,5,1,3,2,2,2,4,4,3,3,3,5,4,4,5,5,4,2,3,3,4,3,3,4,2,2,2,2,2,2,2,4,4,2,3,2,3,3,3,2,3
109,2,3,5,4,3,4,4,4,4,5,3,2,2,4,4,4,4,2,4,2,2,3,4,4,1,4,5,4,3,1,4,4,2,3,2,3,3,3,2,5,3,2,4,4,5,2,4,4,4,4,3,4,4,2,1,4,4,3,3,4
27,4,5,1,3,1,4,4,2,4,5,1,2,4,2,5,3,1,4,4,5,4,4,4,4,2,3,5,2,2,1,4,3,4,5,5,2,2,4,4,4,4,2,5,3,1,4,2,1,2,1,2,5,4,5,2,4,4,2,4,5
55,2,2,4,4,4,4,4,2,4,4,2,2,4,2,4,2,4,1,4,1,3,4,4,4,1,2,2,4,4,2,5,2,2,2,2,2,2,4,2,4,4,4,3,4,1,4,4,2,2,4,2,4,4,2,2,2,4,4,2,4
118,5,5,5,1,1,2,4,5,2,4,1,4,3,5,4,1,1,1,4,5,4,4,4,4,1,4,4,5,1,1,3,4,1,5,5,2,4,3,5,5,3,2,4,2,1,5,4,4,1,1,2,5,3,5,2,4,5,4,4,4
125,4,4,1,3,1,3,4,2,2,4,2,2,3,2,3,4,2,5,4,5,2,1,3,2,3,2,4,1,4,3,4,4,5,5,4,4,2,3,2,3,4,2,4,4,2,2,2,1,2,1,3,4,4,2,3,3,4,2,3,2
127,4,4,5,1,2,3,4,2,4,4,1,2,2,5,4,1,2,3,4,4,4,3,4,4,2,2,4,5,2,2,2,4,2,4,3,2,4,4,2,4,4,2,3,2,1,5,4,2,2,2,3,4,4,2,2,4,4,4,5,4
128,4,3,2,4,5,3,5,2,4,5,1,2,5,1,4,2,2,4,3,1,3,1,3,4,3,1,4,2,4,3,2,4,4,4,2,2,2,5,2,1,4,3,3,4,2,3,4,1,4,3,4,4,4,2,4,3,4,2,2,4
129,3,3,2,2,2,2,4,2,3,4,2,3,4,3,4,3,2,4,4,4,2,3,2,3,2,3,4,2,3,3,4,3,4,4,4,3,2,3,3,3,3,3,3,4,2,2,3,2,2,2,4,4,4,3,2,3,4,3,4,3
154,3,4,4,2,4,2,4,1,5,5,2,4,2,3,4,3,1,5,4,3,2,2,2,4,2,2,5,2,2,2,4,4,2,3,2,2,4,3,1,4,5,2,3,4,2,2,2,3,4,3,2,4,4,1,1,5,4,3,2,4
111,4,5,2,1,5,4,5,3,2,5,1,3,4,4,5,2,5,5,5,5,4,3,4,2,1,4,4,1,2,5,1,5,4,5,5,3,2,3,4,5,5,5,3,3,1,5,1,1,1,1,1,5,3,4,1,5,5,4,5,4
130,4,5,2,2,5,5,5,4,1,5,2,2,4,5,5,5,1,4,5,5,4,2,4,2,1,4,5,4,2,1,4,5,4,5,5,2,1,4,5,5,2,4,5,5,1,4,1,1,2,1,2,5,4,5,2,4,4,4,5,5
17,4,4,2,4,1,4,4,3,4,4,3,2,4,3,4,4,1,4,3,5,2,2,2,4,1,2,5,2,4,2,4,4,4,4,5,2,2,4,1,3,4,3,4,4,2,2,2,2,4,1,2,4,4,2,1,3,4,2,2,4
18,3,5,1,3,5,3,5,4,4,5,1,3,4,4,4,3,1,5,5,3,5,3,4,3,2,2,4,2,2,4,4,5,5,4,4,2,4,4,3,4,3,4,5,3,2,3,3,1,1,1,1,5,4,3,4,4,3,3,3,4
20,3,5,4,5,1,3,5,3,5,5,3,4,5,2,5,2,2,4,4,5,3,3,1,4,1,3,2,3,5,1,4,4,3,5,5,1,4,5,3,5,3,4,5,5,2,3,3,2,4,2,3,5,5,2,2,4,2,2,1,4
25,4,4,2,3,2,4,4,1,5,5,1,3,4,2,4,2,2,4,4,5,4,2,4,5,1,1,4,2,4,1,1,4,4,3,5,2,2,5,2,5,4,2,4,4,1,4,2,2,3,1,2,5,4,2,1,4,4,2,3,5
40,4,4,5,3,4,2,5,5,2,4,2,2,1,4,4,4,2,1,4,3,1,2,5,2,2,4,5,5,4,5,4,4,2,3,4,4,2,2,2,4,3,2,4,2,1,4,2,2,1,1,4,4,2,2,1,4,4,4,3,4
44,4,4,5,2,1,3,4,2,2,4,2,3,1,4,3,1,2,1,4,4,3,3,2,4,2,2,4,4,2,1,1,4,3,4,4,2,2,4,4,3,4,2,4,2,1,4,2,2,2,1,2,4,2,2,2,4,4,3,3,4
90,4,4,3,2,2,4,4,3,4,4,4,2,4,2,4,2,2,3,4,4,4,4,2,4,2,2,4,4,2,2,4,4,3,4,4,2,4,4,2,5,3,4,4,2,2,4,2,2,2,1,2,4,4,4,2,3,3,4,2,4
149,3,4,4,2,4,4,4,2,2,5,2,4,2,4,5,5,2,4,4,2,3,1,2,4,1,2,3,2,4,3,4,4,3,5,5,4,4,5,4,5,4,4,3,5,2,2,3,2,1,4,2,3,3,2,2,3,2,5,2,4
150,4,4,2,2,2,4,4,2,2,5,2,4,4,4,4,2,1,5,4,4,3,4,2,2,2,2,5,2,2,2,2,4,5,4,4,4,2,4,2,5,4,4,4,2,2,4,2,1,2,2,4,4,4,2,2,4,2,2,4,4
156,3,4,5,2,2,2,4,2,1,5,4,4,3,4,4,3,2,3,4,3,3,4,5,2,1,2,4,5,2,1,4,3,2,5,5,3,4,3,3,5,3,4,2,3,2,3,2,2,2,5,4,4,5,3,1,1,2,5,3,4
157,5,4,2,3,4,5,5,2,4,4,2,2,4,2,5,4,2,5,4,3,3,1,1,5,4,2,5,2,5,2,4,5,5,5,3,3,2,4,3,2,4,3,4,4,2,2,3,1,2,5,2,4,5,3,4,4,4,1,3,4
102,4,4,4,3,4,4,4,1,4,5,1,1,1,1,5,2,1,2,4,3,3,1,2,5,1,4,4,4,4,2,2,3,2,4,4,2,2,5,2,5,2,1,4,4,1,2,1,2,3,2,1,4,5,2,1,5,5,2,4,5
144,4,4,5,4,5,4,5,3,5,5,2,3,3,2,4,4,1,3,3,4,2,2,3,4,1,3,4,2,5,3,3,3,3,3,4,3,1,3,1,3,4,3,3,4,2,2,4,1,4,1,4,4,4,1,3,3,5,1,1,3
169,4,3,2,2,2,3,4,3,2,3,2,2,4,3,3,2,4,4,4,3,3,2,4,3,2,2,3,2,4,2,4,4,3,4,5,3,2,3,2,3,3,4,4,3,2,4,4,1,2,1,3,4,4,2,2,3,3,2,4,4
171,4,4,2,5,1,4,5,4,4,5,1,1,4,1,5,2,1,2,2,5,4,1,2,4,1,2,4,1,5,1,2,5,4,4,5,1,1,4,1,4,4,3,3,5,1,4,1,1,2,1,2,5,4,2,1,4,4,1,1,5
172,3,5,4,2,1,4,5,4,3,5,1,4,4,1,5,2,1,3,5,5,4,1,5,4,1,4,5,2,5,1,4,4,3,5,5,3,1,4,4,5,2,2,5,4,1,3,1,2,1,1,2,5,5,5,1,3,5,1,2,5
173,5,5,4,2,2,4,5,2,4,5,2,2,4,2,3,2,2,5,4,5,3,2,4,4,2,3,4,4,4,2,2,5,4,4,4,3,2,4,2,4,4,2,4,4,2,5,2,2,4,1,3,5,4,2,4,4,3,2,3,4
176,4,5,5,2,3,4,5,4,2,4,2,3,3,4,3,4,1,4,5,3,3,2,4,3,4,3,5,5,2,2,5,5,2,4,4,2,3,3,3,4,3,4,4,3,2,4,2,3,2,2,4,5,2,3,3,4,3,3,3,4
179,5,5,1,3,1,3,5,1,5,5,5,1,5,1,5,1,1,3,5,5,1,1,1,3,1,1,5,4,2,1,1,5,4,5,5,3,1,5,1,1,5,2,5,4,1,5,1,1,1,1,1,5,5,1,1,5,3,1,1,5
184,4,3,4,2,2,4,4,2,2,5,2,2,4,2,2,2,2,4,4,3,4,2,2,4,2,2,4,2,4,2,4,4,4,5,4,2,2,4,2,4,4,2,4,3,2,4,2,2,2,2,2,3,4,2,2,2,4,2,3,4
185,4,4,2,4,2,4,5,2,4,2,4,1,4,2,4,5,2,4,4,2,4,2,2,4,4,2,4,2,4,2,4,4,4,4,4,2,2,4,2,2,3,3,4,4,2,2,4,2,4,2,2,4,4,2,2,3,4,1,2,4
66,4,4,4,2,1,2,5,2,5,4,4,2,2,4,4,2,1,2,4,5,4,4,2,4,2,4,4,4,4,2,4,4,2,2,5,2,4,4,2,2,4,4,4,2,2,4,2,2,2,4,2,4,3,4,2,4,4,2,2,4
67,4,4,2,4,2,3,4,2,4,4,2,2,4,2,4,2,2,4,2,4,4,1,2,4,2,2,4,2,4,2,3,3,4,4,4,2,2,4,2,2,4,2,4,4,2,3,3,2,4,2,2,4,4,2,2,4,4,1,1,4
10,2,3,2,1,2,3,5,2,2,3,2,2,3,4,4,5,2,4,5,4,3,2,2,1,1,1,3,4,1,2,4,3,3,3,4,4,4,4,4,5,4,4,4,1,2,1,4,1,1,2,3,3,4,5,1,3,2,4,3,3
11,4,4,4,2,1,4,5,3,2,4,2,2,4,4,4,2,1,3,4,4,5,3,3,3,1,1,5,4,3,2,3,4,2,4,4,2,2,4,4,4,4,4,4,4,2,4,3,3,2,2,2,4,4,3,2,4,3,2,4,4
15,4,4,2,4,5,4,5,4,4,2,2,4,4,3,2,2,2,4,4,1,2,2,4,2,3,2,5,2,4,4,1,4,3,4,1,2,3,2,2,4,4,4,5,5,2,5,4,2,4,4,4,4,2,3,4,4,2,2,4,2
34,4,4,4,4,2,1,4,4,4,4,4,4,4,2,3,2,2,2,4,4,5,4,2,4,1,4,4,2,5,2,3,4,2,3,4,2,4,4,4,4,3,2,4,4,2,4,1,2,4,2,2,4,5,5,2,4,5,2,1,4
35,5,4,2,5,2,4,5,4,5,5,2,1,4,1,3,4,2,4,3,4,2,2,4,4,1,4,5,4,5,2,2,4,4,2,4,3,1,4,1,3,3,2,4,4,1,2,1,2,4,3,4,5,4,1,1,4,4,3,2,3
114,4,4,5,5,1,3,5,5,4,5,2,1,1,3,4,5,2,3,4,5,3,3,4,4,1,3,4,5,4,2,5,2,3,2,4,3,3,4,4,4,2,4,4,5,2,2,4,2,4,2,5,5,2,4,2,4,5,3,1,4
121,4,4,5,2,1,3,4,4,2,5,1,4,3,4,5,3,1,2,4,5,4,2,4,3,2,1,4,4,4,1,5,4,2,4,5,3,2,4,4,3,4,4,5,2,2,4,4,2,3,2,4,4,5,2,2,4,4,2,2,4
133,3,4,3,2,2,3,5,3,4,4,2,2,4,4,4,4,2,4,4,4,2,3,4,3,2,3,4,4,2,2,4,4,3,4,4,3,2,3,4,4,2,3,4,3,2,2,3,2,2,2,3,4,4,4,2,3,4,2,2,4
166,5,4,4,2,1,5,4,2,5,5,1,2,3,5,5,2,1,2,5,5,4,4,1,2,1,1,4,4,1,1,2,3,3,4,5,1,4,5,5,5,5,2,4,1,1,5,2,3,2,1,1,4,5,5,1,5,4,4,5,5
38,4,4,2,3,1,5,4,3,2,4,2,3,4,2,3,3,2,5,4,5,3,2,3,4,1,3,4,2,5,3,3,4,5,3,5,2,2,3,3,3,3,3,4,4,3,3,2,1,3,2,2,4,4,2,2,3,2,3,1,3
39,4,4,4,4,2,4,4,5,4,3,1,4,2,2,3,2,3,2,4,4,2,2,3,3,2,4,5,4,5,1,4,4,2,4,4,2,2,3,2,2,3,3,4,4,2,5,1,2,3,2,4,5,4,4,2,5,4,4,4,4
51,4,4,1,4,3,2,4,2,5,4,2,2,5,1,4,2,2,4,2,3,4,2,2,4,1,1,4,3,4,2,3,4,4,2,4,2,2,4,1,3,4,2,4,5,2,4,4,1,4,2,2,5,4,2,4,3,4,2,2,4
76,3,4,1,2,2,4,5,3,3,4,2,2,4,4,4,3,1,5,4,4,4,4,2,3,2,2,5,1,2,2,3,4,5,4,4,2,4,5,3,5,4,3,4,2,1,3,2,1,1,1,2,5,5,4,2,4,3,4,4,4
100,5,5,4,4,2,4,4,3,4,5,2,3,3,3,4,2,1,3,4,4,3,3,5,4,1,3,4,5,3,2,3,5,2,3,4,3,2,4,3,5,3,2,4,3,2,5,3,3,4,2,2,5,5,4,2,4,4,2,3,4
101,4,5,1,2,1,4,5,1,2,5,1,2,5,1,5,4,1,4,4,5,4,2,4,2,1,1,5,2,2,1,2,5,5,5,5,2,2,5,1,5,4,2,5,5,1,2,2,1,1,1,2,5,5,2,1,5,5,2,1,5
116,5,4,2,4,2,5,4,2,3,5,2,3,4,3,4,3,2,3,3,4,3,2,2,5,2,2,4,3,3,2,1,4,4,2,5,3,2,5,2,5,4,2,5,4,2,3,2,2,2,1,1,4,4,2,2,4,4,3,2,4
122,4,2,1,1,1,2,5,4,2,5,5,1,5,5,5,4,4,4,2,5,5,4,3,2,1,4,2,4,1,1,4,3,4,5,5,1,1,5,5,5,2,5,5,4,1,4,5,2,4,1,2,5,5,5,1,3,1,1,1,5
139,4,4,2,2,4,4,4,4,5,3,4,4,3,4,4,2,1,3,4,2,4,3,4,3,1,2,5,4,3,4,4,5,4,5,4,3,4,4,4,5,3,4,3,2,1,4,4,2,3,3,1,4,5,4,2,4,3,2,4,3
140,4,3,4,3,2,4,4,2,3,5,2,3,4,4,3,2,2,4,5,5,3,4,2,2,3,2,4,5,2,3,4,3,4,4,4,2,4,3,4,4,3,2,3,3,2,5,4,2,2,2,2,4,4,4,2,4,3,4,4,4
143,2,4,4,4,2,3,4,4,4,3,3,4,3,1,3,4,4,3,3,3,2,2,3,4,2,3,4,3,3,2,4,4,2,1,3,4,2,3,2,3,3,1,3,4,2,2,3,3,3,4,3,4,5,2,3,3,4,3,3,4
170,4,5,1,4,3,4,5,2,4,5,2,1,4,3,4,1,4,5,2,5,4,1,5,5,4,2,5,1,4,1,3,5,5,2,5,1,1,5,1,3,4,3,4,1,1,4,2,1,1,1,1,5,1,2,2,5,4,1,2,4
188,4,5,2,4,3,4,3,4,4,5,4,4,5,1,5,3,3,4,4,1,4,2,4,4,1,2,4,4,5,1,3,5,3,5,4,2,1,5,1,5,3,4,4,4,2,3,3,2,3,2,2,4,3,3,2,4,3,3,1,5
189,5,4,4,4,4,4,4,3,4,5,2,2,2,4,5,1,1,3,4,3,4,2,4,4,2,3,4,4,3,1,4,4,3,2,2,2,4,4,2,4,3,5,4,2,2,5,4,1,4,3,2,4,3,2,2,4,3,4,4,5
30,5,4,2,4,2,4,4,2,4,5,2,2,2,4,4,2,2,4,4,4,3,2,4,4,3,2,4,4,4,2,4,4,4,5,4,3,4,4,3,4,4,3,4,4,2,5,3,1,2,2,2,4,4,3,4,4,4,4,3,4
78,3,3,4,4,2,4,4,4,4,5,4,3,2,2,5,3,2,2,2,5,4,3,4,4,1,3,4,4,4,1,3,4,3,2,5,2,4,3,3,5,3,3,4,4,1,4,4,2,4,2,3,4,3,4,1,2,2,2,2,5
82,4,4,2,2,1,4,4,2,2,4,2,4,2,5,4,2,2,4,4,5,4,2,2,4,2,2,4,4,2,2,2,4,3,4,4,2,2,4,4,5,4,2,4,2,2,4,2,2,2,2,2,4,4,4,2,4,4,4,4,4
174,4,4,4,3,1,4,4,3,2,4,1,4,4,3,4,4,1,3,4,5,4,3,3,3,1,1,4,3,4,1,3,4,4,4,5,3,4,4,3,4,4,4,3,4,2,5,4,3,4,3,3,2,4,2,2,4,4,4,3,4
1,4,4,1,3,3,4,4,2,4,4,3,2,4,2,4,3,2,4,4,4,2,2,2,4,3,3,4,2,3,3,4,4,4,5,4,4,1,4,2,2,4,1,5,4,1,5,1,1,3,1,1,4,5,3,3,4,4,1,1,3
8,4,4,1,2,1,4,5,1,4,4,1,2,4,2,4,2,4,5,4,4,3,2,2,4,2,2,5,2,4,2,4,5,5,5,5,2,2,4,2,2,4,3,4,2,2,4,2,1,2,2,2,5,4,2,3,4,4,2,2,4
23,4,4,4,4,2,4,5,4,4,4,2,2,3,2,4,4,2,3,4,5,3,2,3,4,2,3,4,4,3,2,4,4,2,2,4,3,1,4,3,3,2,3,4,3,2,2,2,2,3,2,2,4,4,3,2,4,4,4,2,4
80,2,4,1,4,3,3,4,1,5,4,4,1,5,1,5,4,1,5,4,4,4,1,1,4,1,3,4,1,5,1,4,3,4,2,4,1,3,5,1,3,4,4,4,5,1,2,3,1,4,1,1,4,5,1,1,3,4,2,2,4
81,5,5,5,5,1,4,4,1,5,5,3,3,4,2,4,2,1,3,3,4,3,1,2,4,5,2,4,4,4,3,4,4,5,3,3,3,1,4,4,3,4,3,3,4,3,4,3,5,1,3,3,4,5,2,3,3,3,2,2,2
105,1,1,4,2,1,5,5,3,4,5,1,5,5,4,4,2,1,3,4,5,4,4,3,3,1,4,5,2,2,1,4,5,3,4,5,3,3,4,2,4,4,4,5,4,1,5,2,2,2,1,2,5,5,2,1,5,4,3,5,5
117,3,4,4,2,4,4,4,4,3,5,2,3,3,4,5,3,1,3,4,2,4,4,4,4,2,3,4,4,2,4,4,3,3,4,1,3,4,4,3,4,2,3,4,2,1,3,4,3,2,3,2,4,4,3,2,4,3,4,4,4
191,5,4,2,5,2,3,4,2,5,5,2,1,4,1,5,3,3,4,1,4,2,1,4,5,2,3,4,4,5,2,2,5,4,1,5,3,1,3,1,5,4,3,4,5,5,5,3,2,4,1,2,4,4,1,1,4,5,2,2,4
192,4,4,5,2,3,4,5,5,4,5,4,1,3,4,5,3,1,1,3,4,2,2,2,1,2,4,5,4,3,4,2,2,2,4,4,2,4,4,5,2,3,1,5,2,4,4,4,3,2,1,5,4,4,4,3,4,4,2,3,2
4,4,4,3,3,3,3,5,3,3,4,3,3,3,3,4,3,2,4,4,3,3,2,4,3,2,2,4,4,4,2,3,4,3,3,3,3,2,3,4,4,3,3,4,3,2,2,2,2,4,4,3,4,3,4,2,3,4,2,1,4
96,5,4,2,4,1,3,5,2,4,5,3,2,3,1,5,1,2,4,2,5,4,2,2,5,1,1,5,2,5,1,1,5,4,4,5,1,5,5,2,4,5,1,5,5,1,5,2,1,5,1,3,4,4,1,1,4,5,1,1,5
115,3,3,2,3,2,3,4,3,5,5,3,4,3,4,4,2,3,4,3,5,4,4,4,4,1,3,2,3,3,2,2,2,3,3,4,2,3,4,4,3,3,4,3,3,2,4,2,3,4,2,3,3,4,3,2,4,3,2,3,4
